"","id","altura","idade","peso","imc","sexo","escolaridade","profissao","fumante.f","fumante.n","salario","carros","filhos"
"1",1,1.47,27,53.71,24.86,"M","Analfabeto","Biológicas","não",0,2870.5,2,2
"2",2,1.27,28,45.94,28.48,"F","PósDoc","Humanas","não",0,2093.68,1,0
"3",3,1.51,29,55.29,24.25,"M","2º Grau","Exatas","não",0,3028.94,0,1
"4",4,1.43,31,52.22,25.54,"M","Mestrado","Biológicas","sim",1,2722.3,3,2
"5",5,1.47,27,53.92,24.95,"M","Analfabeto","Humanas","não",0,2892,0,0
"6",6,1.57,28,57.62,23.38,"F","PósDoc","Exatas","não",0,3262.19,2,1
"7",7,1.65,30,61.08,22.44,"M","2º Grau","Biológicas","não",0,3608.18,3,2
"8",8,1.3,33,47.19,27.92,"F","2º Grau","Biológicas","sim",1,2218.89,0,2
"9",9,1.51,25,55.22,24.22,"M","2º Grau","Exatas","não",0,3021.87,1,1
"10",10,1.5,29,54.82,24.36,"F","Doutorado","Biológicas","não",0,2981.84,1,2
"11",11,1.56,26,57.57,23.66,"M","Doutorado","Humanas","sim",1,3257.07,0,0
"12",12,1.62,25,59.84,22.8,"F","Mestrado","Exatas","não",0,3483.77,1,1
"13",13,1.54,28,56.71,23.91,"M","Mestrado","Humanas","sim",1,3171.33,2,0
"14",14,1.46,24,53.32,25.01,"M","Analfabeto","Biológicas","sim",1,2832.5,2,2
"15",15,1.57,28,57.94,23.51,"M","3º Grau","Biológicas","não",0,3293.56,0,2
"16",16,1.5,29,55.07,24.48,"F","1º Grau","Biológicas","não",0,3007.39,1,2
"17",17,1.37,31,49.72,26.49,"F","Analfabeto","Biológicas","não",0,2471.51,3,2
"18",18,1.35,29,49.09,26.94,"F","Doutorado","Humanas","não",0,2408.79,1,0
"19",19,1.42,31,51.62,25.6,"F","Mestrado","Biológicas","não",0,2661.98,3,2
"20",20,1.5,26,55.14,24.51,"M","Mestrado","Exatas","não",0,3014.32,2,1
"21",21,1.4,23,50.82,25.93,"F","3º Grau","Exatas","sim",1,2581.75,1,1
"22",22,1.46,29,53.6,25.15,"M","2º Grau","Humanas","não",0,2859.84,2,0
"23",23,1.49,29,54.63,24.61,"M","3º Grau","Humanas","sim",1,2962.91,0,0
"24",24,1.61,29,59.47,22.94,"M","2º Grau","Humanas","sim",1,3447.39,2,0
"25",25,1.55,32,57.1,23.77,"F","2º Grau","Exatas","sim",1,3210.11,1,1
"26",26,1.54,28,56.78,23.94,"F","Doutorado","Exatas","sim",1,3177.98,3,1
"27",27,1.63,27,60.08,22.61,"F","PósDoc","Exatas","não",0,3508.37,1,1
"28",28,1.31,27,47.32,27.57,"M","Mestrado","Exatas","não",0,2232.4,2,1
"29",29,1.41,26,51.35,25.83,"M","3º Grau","Exatas","sim",1,2635.49,2,1
"30",30,1.7,31,63.14,21.85,"F","1º Grau","Humanas","não",0,3814.45,1,0
"31",31,1.52,29,55.85,24.17,"F","2º Grau","Exatas","não",0,3085.37,1,1
"32",32,1.53,31,56.31,24.05,"F","2º Grau","Exatas","não",0,3131.07,3,1
"33",33,1.39,27,50.49,26.13,"F","Mestrado","Humanas","não",0,2549.48,1,0
"34",34,1.43,26,52.34,25.6,"M","2º Grau","Exatas","não",0,2734.49,0,1
"35",35,1.52,26,55.61,24.07,"M","2º Grau","Humanas","não",0,3061.21,0,0
"36",36,1.51,28,55.36,24.28,"F","1º Grau","Humanas","não",0,3036.33,1,0
"37",37,1.53,28,56.09,23.96,"M","1º Grau","Biológicas","não",0,3109.04,1,2
"38",38,1.58,26,58.39,23.39,"M","2º Grau","Exatas","não",0,3338.87,3,1
"39",39,1.46,29,53.37,25.04,"M","Mestrado","Humanas","não",0,2836.98,0,0
"40",40,1.47,26,53.73,24.86,"M","Analfabeto","Humanas","não",0,2872.6,2,0
"41",41,1.68,29,62.35,22.09,"F","Analfabeto","Humanas","não",0,3734.93,0,0
"42",42,1.4,25,51.02,26.03,"M","3º Grau","Biológicas","não",0,2602.21,2,2
"43",43,1.67,30,61.65,22.11,"M","Analfabeto","Exatas","não",0,3664.87,3,1
"44",44,1.61,24,59.26,22.86,"M","3º Grau","Exatas","não",0,3425.55,0,1
"45",45,1.52,28,55.75,24.13,"M","Mestrado","Humanas","não",0,3075.02,2,0
"46",46,1.35,29,48.84,26.8,"F","PósDoc","Biológicas","sim",1,2383.81,2,2
"47",47,1.52,27,55.76,24.13,"M","Mestrado","Biológicas","sim",1,3075.7,0,2
"48",48,1.49,35,54.45,24.53,"M","Doutorado","Biológicas","não",0,2945.17,3,2
"49",49,1.61,25,59.51,22.96,"M","Analfabeto","Exatas","sim",1,3450.78,3,1
"50",50,1.45,27,53.07,25.24,"F","2º Grau","Exatas","não",0,2806.78,3,1
"51",51,1.5,30,54.83,24.37,"F","3º Grau","Biológicas","sim",1,2983.07,0,2
"52",52,1.38,30,50.1,26.31,"M","Doutorado","Humanas","não",0,2510.35,2,0
"53",53,1.53,30,56.37,24.08,"F","Doutorado","Biológicas","sim",1,3136.53,2,2
"54",54,1.48,29,54.38,24.83,"M","Doutorado","Exatas","sim",1,2938.1,2,1
"55",55,1.4,25,51.15,26.1,"F","3º Grau","Biológicas","não",0,2614.86,3,2
"56",56,1.43,34,52.28,25.57,"M","2º Grau","Humanas","não",0,2727.92,2,0
"57",57,1.58,28,58.4,23.39,"M","Doutorado","Humanas","não",0,3339.82,1,0
"58",58,1.46,27,53.6,25.15,"F","1º Grau","Humanas","não",0,2859.83,1,0
"59",59,1.42,28,51.63,25.61,"M","1º Grau","Biológicas","sim",1,2662.5,2,2
"60",60,1.35,31,49.18,26.98,"M","1º Grau","Biológicas","sim",1,2417.59,0,2
"61",61,1.55,29,57.03,23.74,"F","3º Grau","Exatas","não",0,3203.01,1,1
"62",62,1.5,26,54.92,24.41,"M","1º Grau","Humanas","não",0,2992.25,0,0
"63",63,1.55,25,57.14,23.78,"F","2º Grau","Exatas","sim",1,3214.34,2,1
"64",64,1.52,27,55.9,24.19,"M","Mestrado","Humanas","não",0,3090.24,1,0
"65",65,1.53,28,56.03,23.94,"M","PósDoc","Humanas","não",0,3102.66,1,0
"66",66,1.53,28,56.13,23.98,"F","2º Grau","Exatas","não",0,3113.16,0,1
"67",67,1.36,26,49.43,26.72,"M","2º Grau","Biológicas","não",0,2442.69,0,2
"68",68,1.52,26,55.93,24.21,"F","2º Grau","Biológicas","não",0,3093,3,2
"69",69,1.34,26,48.66,27.1,"M","2º Grau","Humanas","não",0,2365.58,0,0
"70",70,1.56,30,57.23,23.52,"M","PósDoc","Biológicas","não",0,3222.52,3,2
"71",71,1.26,30,45.46,28.63,"M","2º Grau","Humanas","não",0,2045.79,2,0
"72",72,1.59,26,58.67,23.21,"F","3º Grau","Exatas","sim",1,3367.38,1,1
"73",73,1.57,27,57.87,23.48,"F","3º Grau","Humanas","sim",1,3287.4,2,0
"74",74,1.64,29,60.63,22.54,"F","Doutorado","Humanas","sim",1,3563.41,1,0
"75",75,1.35,29,48.9,26.83,"M","Mestrado","Humanas","sim",1,2389.56,1,0
"76",76,1.43,28,52.04,25.45,"F","Mestrado","Biológicas","não",0,2703.72,0,2
"77",77,1.58,29,58.28,23.35,"F","2º Grau","Biológicas","não",0,3328.06,3,2
"78",78,1.42,29,51.85,25.71,"M","Mestrado","Biológicas","não",0,2685.19,0,2
"79",79,1.45,31,52.96,25.19,"F","Doutorado","Biológicas","não",0,2795.79,3,2
"80",80,1.55,27,56.85,23.66,"M","PósDoc","Biológicas","sim",1,3185,0,2
"81",81,1.4,27,50.89,25.96,"F","1º Grau","Humanas","sim",1,2588.81,1,0
"82",82,1.57,29,57.86,23.47,"M","Analfabeto","Exatas","não",0,3285.84,1,1
"83",83,1.58,28,58.03,23.25,"F","PósDoc","Humanas","não",0,3303.07,1,0
"84",84,1.5,27,54.81,24.36,"F","2º Grau","Biológicas","sim",1,2980.79,1,2
"85",85,1.43,27,52.02,25.44,"F","1º Grau","Humanas","sim",1,2702.15,0,0
"86",86,1.36,27,49.26,26.63,"F","2º Grau","Exatas","não",0,2426.08,2,1
"87",87,1.68,25,62.29,22.07,"F","Analfabeto","Biológicas","sim",1,3728.77,2,2
"88",88,1.48,29,54.31,24.79,"M","Mestrado","Biológicas","sim",1,2930.89,1,2
"89",89,1.48,26,54.12,24.71,"M","3º Grau","Exatas","não",0,2912.01,0,1
"90",90,1.46,28,53.44,25.07,"F","PósDoc","Exatas","sim",1,2844.3,0,1
"91",91,1.53,25,56.18,24,"F","1º Grau","Biológicas","não",0,3118.36,2,2
"92",92,1.52,29,55.81,24.16,"M","2º Grau","Biológicas","sim",1,3080.94,0,2
"93",93,1.61,30,59.33,22.89,"M","PósDoc","Exatas","não",0,3432.55,1,1
"94",94,1.52,32,55.7,24.11,"M","3º Grau","Exatas","não",0,3070.32,3,1
"95",95,1.46,28,53.22,24.97,"M","Mestrado","Biológicas","não",0,2821.71,2,2
"96",96,1.42,27,51.85,25.71,"F","3º Grau","Exatas","não",0,2685.36,2,1
"97",97,1.55,27,56.81,23.65,"F","3º Grau","Exatas","sim",1,3180.56,3,1
"98",98,1.26,28,45.59,28.72,"M","Analfabeto","Humanas","sim",1,2058.55,2,0
"99",99,1.56,29,57.57,23.66,"M","Mestrado","Exatas","não",0,3257.07,2,1
"100",100,1.64,27,60.49,22.49,"F","PósDoc","Humanas","não",0,3549.39,1,0
"101",101,1.57,26,57.73,23.42,"M","Analfabeto","Exatas","não",0,3272.75,0,1
"102",102,1.49,26,54.56,24.58,"F","Analfabeto","Biológicas","não",0,2956.23,3,2
"103",103,1.69,27,62.66,21.94,"M","1º Grau","Biológicas","não",0,3765.95,2,2
"104",104,1.66,27,61.31,22.25,"M","Doutorado","Exatas","não",0,3631.48,2,1
"105",105,1.61,23,59.43,22.93,"F","2º Grau","Humanas","sim",1,3443.1,3,0
"106",106,1.61,26,59.47,22.94,"F","PósDoc","Humanas","não",0,3446.92,0,0
"107",107,1.3,28,47.18,27.92,"M","PósDoc","Biológicas","não",0,2217.69,0,2
"108",108,1.4,29,50.86,25.95,"F","1º Grau","Biológicas","não",0,2586.43,1,2
"109",109,1.48,30,54.02,24.66,"F","1º Grau","Biológicas","não",0,2901.77,2,2
"110",110,1.59,27,58.54,23.16,"M","Doutorado","Exatas","não",0,3353.81,3,1
"111",111,1.63,29,60.19,22.65,"F","3º Grau","Biológicas","não",0,3519.03,1,2
"112",112,1.43,28,52.19,25.52,"M","3º Grau","Humanas","sim",1,2719.44,3,0
"113",113,1.44,23,52.65,25.39,"F","3º Grau","Humanas","sim",1,2764.73,0,0
"114",114,1.52,27,55.66,24.09,"M","2º Grau","Biológicas","sim",1,3066,2,2
"115",115,1.27,29,45.67,28.32,"F","3º Grau","Biológicas","não",0,2067.22,0,2
"116",116,1.65,31,61.14,22.46,"F","2º Grau","Exatas","não",0,3614.1,0,1
"117",117,1.47,31,53.98,24.98,"F","Mestrado","Exatas","não",0,2898.27,3,1
"118",118,1.41,27,51.22,25.76,"M","Mestrado","Biológicas","sim",1,2621.54,3,2
"119",119,1.52,30,55.7,24.11,"M","PósDoc","Biológicas","não",0,3069.51,3,2
"120",120,1.31,28,47.39,27.61,"M","2º Grau","Biológicas","sim",1,2238.99,2,2
"121",121,1.38,30,50.34,26.43,"F","Doutorado","Exatas","sim",1,2534.21,2,1
"122",122,1.39,29,50.69,26.24,"F","3º Grau","Biológicas","não",0,2569.29,0,2
"123",123,1.35,27,48.85,26.8,"F","1º Grau","Biológicas","não",0,2385.5,2,2
"124",124,1.49,24,54.53,24.56,"F","3º Grau","Biológicas","não",0,2952.84,1,2
"125",125,1.87,30,69.96,20.01,"M","PósDoc","Biológicas","sim",1,4495.91,3,2
"126",126,1.48,31,54.02,24.66,"M","Mestrado","Exatas","sim",1,2901.67,2,1
"127",127,1.46,29,53.32,25.01,"M","2º Grau","Biológicas","não",0,2831.63,0,2
"128",128,1.47,29,53.8,24.9,"M","Analfabeto","Biológicas","não",0,2880.39,0,2
"129",129,1.45,26,53.11,25.26,"M","2º Grau","Exatas","sim",1,2810.55,1,1
"130",130,1.4,27,51.12,26.08,"F","Doutorado","Exatas","não",0,2612.17,2,1
"131",131,1.58,26,58.27,23.34,"F","Doutorado","Exatas","sim",1,3326.58,3,1
"132",132,1.39,31,50.75,26.27,"M","2º Grau","Humanas","sim",1,2574.91,0,0
"133",133,1.51,28,55.23,24.22,"M","1º Grau","Humanas","não",0,3022.65,2,0
"134",134,1.55,25,57.15,23.79,"M","3º Grau","Humanas","não",0,3215.34,3,0
"135",135,1.56,29,57.43,23.6,"F","Mestrado","Humanas","não",0,3243.11,1,0
"136",136,1.71,30,63.4,21.68,"M","3º Grau","Biológicas","não",0,3840.1,0,2
"137",137,1.43,30,52.27,25.56,"F","Doutorado","Exatas","não",0,2727.28,0,1
"138",138,1.34,27,48.76,27.16,"M","1º Grau","Biológicas","não",0,2376.23,2,2
"139",139,1.46,26,53.41,25.06,"F","3º Grau","Exatas","sim",1,2840.75,1,1
"140",140,1.53,28,56.39,24.09,"F","3º Grau","Humanas","não",0,3139.09,0,0
"141",141,1.35,26,49.15,26.97,"M","Mestrado","Biológicas","não",0,2414.85,2,2
"142",142,1.58,29,58.13,23.29,"M","3º Grau","Biológicas","não",0,3313.5,1,2
"143",143,1.57,26,57.77,23.44,"M","Mestrado","Exatas","sim",1,3277.07,2,1
"144",144,1.54,29,56.75,23.93,"M","2º Grau","Humanas","não",0,3174.56,0,0
"145",145,1.49,27,54.67,24.63,"M","Doutorado","Exatas","sim",1,2966.93,2,1
"146",146,1.44,28,52.49,25.31,"M","PósDoc","Humanas","não",0,2748.75,1,0
